Timestamp,1. How often do you shop online?  ,2. What is your age group?  ,"3. Which platform do you prefer for buying electronics (e.g., phones, laptops, gadgets)?  ",4. Where do you usually shop for fashion and apparel?,5.  Which platform do you prefer for beauty and skincare products?  ,6. Where do you typically buy groceries and household essentials?  ,7. What is the most important factor for you when choosing a platform to shop from?  ,8. Do you trust the product reviews and ratings on these platforms?  ,9. Which platform’s return and refund policy do you find the best?  
21/10/2024 16:35:29,weekly,18-24,Amazon,None / I don’t buy fashion items online,Flipkart,JioMart,Return/Refund Policy,Somewhat trust them,Flipkart
21/10/2024 16:40:01,Monthly,18-24,Flipkart,Myntra,Flipkart,JioMart,Price and Discounts,Somewhat trust them,Flipkart
21/10/2024 16:40:22,Monthly,18-24,Amazon,Amazon,Nykaa,JioMart,Price and Discounts,Neutral,Amazon
21/10/2024 16:44:17,Monthly,18-24,Amazon,Myntra,Amazon,JioMart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 16:44:48,weekly,18-24,Flipkart,Myntra,Flipkart,Zepto,Platform Trust and Security,"Yes, completely trust them",Ajio
21/10/2024 16:48:49,Occasionally (once every few months),18-24,All,All,All,All,All,Somewhat trust them,I don’t use return/refund services
21/10/2024 16:52:24,weekly,18-24,Flipkart,Ajio,Nykaa,JioMart,Return/Refund Policy,Somewhat don’t trust them,Ajio
21/10/2024 17:00:55,Occasionally (once every few months),18-24,Flipkart,Flipkart,Flipkart,Shops,Price and Discounts,Somewhat trust them,Flipkart
21/10/2024 17:08:38,weekly,18-24,Croma,H&M,Nykaa,JioMart,Price and Discounts,Neutral,Amazon
21/10/2024 17:09:02,weekly,18-24,Amazon,Flipkart,Myntra,JioMart,All of the above!!,Somewhat trust them,Amazon
21/10/2024 17:12:37,weekly,18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,JioMart,Product Variety,Neutral,Amazon
21/10/2024 17:12:55,Never,55 and above,None / I don’t buy electronics online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Don’t trust them at all,I don’t use return/refund services
21/10/2024 17:13:07,Occasionally (once every few months),35-44,Flipkart,Flipkart,Nykaa,D mart,Price and Discounts,Somewhat trust them,Flipkart
21/10/2024 17:19:14,Monthly,25-34,Flipkart,Flipkart,Flipkart,Flipkart Supermart,Product Quality,"Yes, completely trust them",Flipkart
21/10/2024 17:19:55,weekly,25-34,Flipkart,Myntra,Nykaa,Blinkit,Product Quality,Somewhat trust them,Myntra
21/10/2024 17:22:25,Occasionally (once every few months),18-24,Amazon,Zara,None / I don’t buy fashion items online,Flipkart Supermart,Product Variety,Neutral,I don’t use return/refund services
21/10/2024 17:22:32,Occasionally (once every few months),18-24,Amazon,Myntra,Myntra,None / I don’t buy fashion items online,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 17:24:06,Monthly,35-44,Flipkart,Myntra,Nykaa,JioMart,Return/Refund Policy,Neutral,Amazon
21/10/2024 17:29:41,weekly,18-24,Amazon,Myntra,Nykaa,Blinkit,Product Quality,Neutral,Myntra
21/10/2024 17:34:35,Monthly,18-24,Flipkart,Flipkart,Flipkart,JioMart,Product Quality,Neutral,Flipkart
21/10/2024 17:50:51,Monthly,Under 18,Amazon,H&M,Nykaa,None / I don’t buy fashion items online,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 17:58:57,Monthly,18-24,Amazon,Option 7,Amazon,JioMart,Price and Discounts,Somewhat trust them,Flipkart
21/10/2024 18:01:57,Occasionally (once every few months),18-24,Amazon,Amazon,None / I don’t buy fashion items online,Zepto,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 18:02:14,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,None / I don’t buy fashion items online,JioMart,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 18:02:15,Occasionally (once every few months),18-24,Amazon,Flipkart,None / I don’t buy fashion items online,Flipkart Supermart,Product Quality,Somewhat trust them,Amazon
21/10/2024 18:06:25,Monthly,18-24,Croma,Ajio,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Flipkart
21/10/2024 18:18:13,Occasionally (once every few months),18-24,Croma,Amazon,None / I don’t buy fashion items online,Blinkit,Availability of Offers and Coupons,Somewhat trust them,Amazon
21/10/2024 18:21:34,Occasionally (once every few months),18-24,Reliance Digital,Amazon,Flipkart,JioMart,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 18:21:46,weekly,18-24,Amazon,Myntra,Nykaa,JioMart,Return/Refund Policy,"Yes, completely trust them",Myntra
21/10/2024 18:22:03,Occasionally (once every few months),18-24,Flipkart,Flipkart,Nykaa,JioMart,Product Quality,Neutral,Flipkart
21/10/2024 18:22:34,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 18:22:44,Occasionally (once every few months),Under 18,Amazon,Myntra,Amazon,JioMart,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 18:22:56,Monthly,Under 18,Amazon,Amazon,Amazon,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 18:23:00,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,"Yes, completely trust them",Myntra
21/10/2024 18:23:17,Rarely (once or twice a year),Under 18,Amazon,Amazon,Nykaa,Blinkit,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 18:23:27,Monthly,18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,"Yes, completely trust them",Myntra
21/10/2024 18:23:33,Occasionally (once every few months),18-24,Amazon,None / I don’t buy fashion items online,Nykaa,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
21/10/2024 18:24:11,Monthly,18-24,Reliance Digital,All the above,"Option 1,2",JioMart,All the above,Neutral,Amazon
21/10/2024 18:24:33,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,JioMart,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 18:24:46,Monthly,18-24,Flipkart,Myntra,None / I don’t buy fashion items online,JioMart,Availability of Offers and Coupons,Neutral,Amazon
21/10/2024 18:26:50,Monthly,18-24,Flipkart,Myntra,Nykaa,JioMart,Price and Discounts,"Yes, completely trust them",Flipkart
21/10/2024 18:26:58,Occasionally (once every few months),18-24,Croma,None / I don’t buy fashion items online,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 18:28:47,Monthly,18-24,Amazon,Myntra,Tira,JioMart,Product Quality,Somewhat trust them,Myntra
21/10/2024 18:29:05,weekly,18-24,Amazon,Flipkart,Nykaa,JioMart,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 18:29:10,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Myntra,Nykaa,JioMart,Product Quality,"Yes, completely trust them",Amazon
21/10/2024 18:30:01,Monthly,18-24,Amazon,Myntra,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
21/10/2024 18:34:51,weekly,18-24,Reliance Digital,H&M,Nykaa,JioMart,Platform Trust and Security,"Yes, completely trust them",Amazon
21/10/2024 18:37:17,Monthly,18-24,Amazon,Myntra,Myntra,Blinkit,Return/Refund Policy,Somewhat don’t trust them,Amazon
21/10/2024 18:38:16,weekly,18-24,Croma,H&M,Nykaa,JioMart,Platform Trust and Security,Somewhat trust them,Myntra
21/10/2024 18:40:35,Monthly,Under 18,Amazon,Amazon,Nykaa,JioMart,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 18:41:56,weekly,18-24,Amazon,Myntra,Nykaa,JioMart,Price and Discounts,Somewhat trust them,Flipkart
21/10/2024 18:43:27,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,JioMart,Platform Trust and Security,Neutral,I don’t use return/refund services
21/10/2024 18:47:43,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Flipkart,None / I don’t buy fashion items online,JioMart,Product Quality,Neutral,Flipkart
21/10/2024 18:49:09,Occasionally (once every few months),45-54,Amazon,Flipkart,Nykaa,Flipkart Supermart,Platform Trust and Security,Somewhat trust them,Flipkart
21/10/2024 18:49:16,weekly,18-24,Amazon,All,Nykaa,JioMart,All,Don’t trust them at all,None
21/10/2024 18:49:26,Occasionally (once every few months),Under 18,Amazon,Ajio,None / I don’t buy fashion items online,JioMart,Availability of Offers and Coupons,Neutral,I don’t use return/refund services
21/10/2024 18:49:26,weekly,18-24,Amazon,All,All,JioMart,All ,"Yes, completely trust them",All
21/10/2024 18:49:54,Monthly,Under 18,Amazon,All,Purplle,JioMart,All,Somewhat trust them,I don’t use return/refund services
21/10/2024 18:51:16,Monthly,18-24,Amazon,Myntra,Myntra,JioMart,Product Quality,Somewhat trust them,Amazon
21/10/2024 18:52:23,Occasionally (once every few months),18-24,Reliance Digital,Myntra,Myntra,JioMart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 18:53:28,Occasionally (once every few months),Under 18,Amazon,Amazon,None / I don’t buy fashion items online,JioMart,Product Quality,Somewhat trust them,Flipkart
21/10/2024 18:56:35,Daily,18-24,None / I don’t buy electronics online,Myntra,None / I don’t buy fashion items online,JioMart,Price and Discounts,Neutral,Myntra
21/10/2024 18:56:40,Monthly,Under 18,Amazon,Flipkart,Flipkart,JioMart,Product Quality,"Yes, completely trust them",Flipkart
21/10/2024 18:56:41,Occasionally (once every few months),18-24,None / I don’t buy electronics online,Myntra,None / I don’t buy fashion items online,JioMart,Price and Discounts,Neutral,Myntra
21/10/2024 19:03:49,weekly,18-24,Flipkart,Myntra,Flipkart,JioMart,Product Quality,Somewhat trust them,Myntra
21/10/2024 19:03:52,Occasionally (once every few months),18-24,Amazon,Amazon,Amazon,JioMart,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 19:04:27,Monthly,18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 19:07:16,Monthly,18-24,None / I don’t buy electronics online,Ajio,Amazon,JioMart,Product Quality,Neutral,Ajio
21/10/2024 19:08:45,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Neutral,Amazon
21/10/2024 19:08:55,Monthly,18-24,Amazon,Meesho,Meballine ,Zepto,Price and Discounts,Neutral,Amazon
21/10/2024 19:10:43,Daily,18-24,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 19:11:07,Daily,18-24,Amazon,Myntra,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",Myntra
21/10/2024 19:11:27,Daily,18-24,Croma,Myntra,Myntra,Flipkart Supermart,Price and Discounts,"Yes, completely trust them",Flipkart
21/10/2024 19:11:47,Daily,25-34,Reliance Digital,Amazon,Flipkart,JioMart,Product Variety,Neutral,Myntra
21/10/2024 19:12:02,weekly,18-24,Flipkart,Flipkart,Flipkart,Flipkart Supermart,Platform Trust and Security,Neutral,Myntra
21/10/2024 19:12:16,Daily,55 and above,Diddy jr,Baby oil,11-Sep,HELL YEAHHHH,Truly marvelous,"Yes, completely trust them",LASER-light amplification by stimulated emission radiation
21/10/2024 19:12:17,weekly,35-44,Croma,Amazon,Amazon,Flipkart Supermart,Platform Trust and Security,Neutral,Nykaa
21/10/2024 19:12:54,Daily,18-24,Flipkart,Ajio,Nykaa,Blinkit,Product Quality,"Yes, completely trust them",Flipkart
21/10/2024 19:13:02,Monthly,18-24,Amazon,H&M,Nykaa,Blinkit,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 19:13:13,Daily,Under 18,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 19:13:29,Daily,Under 18,Amazon,Myntra,Nykaa,Blinkit,Return/Refund Policy,Somewhat trust them,Amazon
21/10/2024 19:15:13,Monthly,18-24,Flipkart,Flipkart,Flipkart,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Flipkart
21/10/2024 19:15:28,Occasionally (once every few months),18-24,Amazon,Myntra,None / I don’t buy fashion items online,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Amazon
21/10/2024 19:16:02,Occasionally (once every few months),18-24,Amazon,Amazon,Purplle,JioMart,Platform Trust and Security,Neutral,Amazon
21/10/2024 19:17:41,Never,Under 18,I'm old,I'm old ,I'm old,I'm old,I'm old,Don’t trust them at all,I'm old(hiiiii) 
21/10/2024 19:18:51,Occasionally (once every few months),18-24,Amazon,H&M,Nykaa,Blinkit,Product Quality,Somewhat trust them,Amazon
21/10/2024 19:19:35,Monthly,18-24,Amazon,Amazon,Amazon,Zepto,Product Quality,Neutral,Amazon
21/10/2024 19:21:41,Occasionally (once every few months),35-44,Amazon,Ajio,Amazon,None / I don’t buy fashion items online,Price and Discounts,Somewhat trust them,Amazon
21/10/2024 19:21:56,Monthly,18-24,Croma,Myntra,Purplle,JioMart,Return/Refund Policy,"Yes, completely trust them",Amazon
21/10/2024 19:23:18,weekly,Under 18,Flipkart,Flipkart,Flipkart,JioMart,Price and Discounts,Neutral,Amazon
21/10/2024 19:23:31,Occasionally (once every few months),18-24,Amazon,Myntra,Nykaa,Flipkart Supermart,Product Quality,Somewhat trust them,Myntra
21/10/2024 19:24:34,Monthly,18-24,Amazon,Amazon,Nykaa,Blinkit,Platform Trust and Security,Somewhat trust them,Amazon
21/10/2024 19:27:09,Monthly,Under 18,Amazon,Myntra,Nykaa,Blinkit,Platform Trust and Security,"Yes, completely trust them",Amazon
21/10/2024 19:30:21,weekly,Under 18,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 19:30:58,Occasionally (once every few months),18-24,Amazon,Amazon,Amazon,Zepto,Product Quality,Somewhat trust them,Amazon
21/10/2024 19:31:34,Daily,35-44,Flipkart,Flipkart,None / I don’t buy fashion items online,JioMart,Price and Discounts,Somewhat trust them,Myntra
21/10/2024 19:32:45,Occasionally (once every few months),18-24,None / I don’t buy electronics online,None / I don’t buy fashion items online,Purplle,Zepto,Product Quality,Somewhat trust them,I don’t use return/refund services
21/10/2024 19:36:42,weekly,Under 18,Amazon,Myntra,Nykaa,None / I don’t buy fashion items online,Product Quality,Somewhat trust them,Nykaa
21/10/2024 19:40:59,Never,55 and above,Xnxx.com,H&M,Amazon,Xnxx.com,Sexy Model,"Yes, completely trust them",I don’t use return/refund services
21/10/2024 19:41:15,Daily,Under 18,Amazon,Myntra,Nykaa,Blinkit,Price and Discounts,"Yes, completely trust them",Amazon
21/10/2024 19:41:28,Monthly,18-24,Amazon,Amazon,Myntra,JioMart,Price and Discounts,Neutral,Amazon
21/10/2024 19:42:41,Rarely (once or twice a year),25-34,Flipkart,Amazon,Flipkart,Flipkart Supermart,Product Quality,"Yes, completely trust them",Flipkart
21/10/2024 19:44:19,Monthly,18-24,Amazon,Myntra,Amazon,JioMart,Product Variety,Somewhat don’t trust them,Nykaa
